 	added	changed	 *(changed_hft,	changed_span)* 	accepted	removed	Number of fixed varibales and sections (spans)	Removed punctuations
victoria	2	0	0	0	31	71	0	0
eugenia	0	6	6	0	19	66	0	0
carmen	3	2	1	1	25	40	0	0
isabel	1	2	2	0	22	67	0	0
