 	Label	Text	File With Link to BRAT
	_SUG_Trombectomia_mecanica	endovascular	"=HYPERLINK(""http://temu.bsc.es/ICTUSnet/index.xhtml#/08/isabel/321108781.utf8"";""I_321108781.utf8.ann"")"
